filename,confidence_score
A140,0.5774178320636233
A142,0.5666631339652197
A144,0.5608885811107315
A141,0.5594363061946621
A139,0.5586814982041814
A15,0.5581915708930575
A28,0.5541796937034473
A147,0.5541498787204425
A42,0.5531887385111164
A41,0.5528451062573327
A146,0.5515118734832625
B5,0.5510303921917433
A143,0.5505651282427604
A145,0.549234565752356
A3,0.5484167555255394
A26,0.5483108314850947
A148,0.5463825152857456
A137,0.5453455813173005
B4,0.5435632451704179
A27,0.5427356130305458
A1,0.5414805744473417
A9,0.5408860337734221
A67,0.5408505223483592
A17,0.5398173143710846
A16,0.539195592309088
A34,0.5384065536142054
A43,0.5383373080482559
A69,0.5381696084723671
A138,0.5368396898735137
A37,0.5366929725129326
A36,0.5360463008493709
A4,0.5349649370292748
A29,0.5348311451289537
A18,0.534667542155945
A30,0.5341535969306757
A35,0.5340123720112301
A5,0.5337044567216063
A11,0.5330792217827113
A10,0.5329094754010631
A33,0.5327395823757074
A6,0.5325883097021669
W06,0.5314134972048434
W07,0.5309694682801086
A7,0.5304715199295679
A13,0.5299162587787531
A14,0.529628241030981
A31,0.527760149664853
A8,0.5266358262864651
A22,0.5262022237257754
A21,0.5254726815275435
A19,0.5252341783480393
A65,0.5243748155972295
A63,0.5241599371552292
A2,0.5241195142399756
A71,0.5236229665731258
A74,0.5210014631718765
A20,0.5204998105997479
A25,0.5203787743540134
A23,0.5185856851255685
A75,0.5180235398501158
G81,0.5179882330435972
G74,0.5171838170226132
A64,0.5170109432517885
A12,0.5164145031802508
A70,0.5160404613864222
A24,0.5152726982620421
W27,0.5131727759001231
A38,0.5124228315981486
A134,0.5122094114748715
A62,0.5109655381044717
W29,0.5093234676149317
A73,0.508805375987043
A66,0.5076878152315063
A32,0.5075472950945604
A72,0.5075374566883534
W08,0.5072635560806068
W24,0.5066590630385231
B2,0.5056023800005651
A39,0.505249319978341
A60,0.5050231477306003
A61,0.504280133786502
G77,0.5041721534394487
W20,0.5033848932036568
A52,0.5027581974782075
G73,0.5018563084314998
A68,0.5017660304549195
W17,0.5017356052931766
W15,0.5002657452033245
W13,0.49986134856554776
G78,0.4988347200181948
W22,0.4985079513712651
G71,0.4970862139872381
W30,0.49708529526561807
W01,0.49503665608330316
G07,0.49451717638057663
G21,0.49411828815694747
G72,0.4937604322794539
B3,0.4934818841027413
A47,0.49181161580177446
W14,0.4915490322684248
W05,0.4914660408018548
G75,0.49111084565477975
W10,0.4909360315843865
G82,0.49040443210899204
G76,0.4900678814436086
W26,0.48908779237780187
G02,0.4890576315364323
G01,0.48905520365150584
W04,0.48901632680906
G09,0.4878355645159042
W09,0.48683128552744886
W41,0.4866139128338371
G37,0.48632152181660004
G08,0.48581204962220276
W19,0.4849193452686823
G03,0.484705021427075
W16,0.4845905400084894
G69,0.4830512675767143
G66,0.48263798761598586
G46,0.4817745460640816
W25,0.48160294059127184
G39,0.48143310783559795
G23,0.4812667894719252
G79,0.48110881646329806
G20,0.4811070448805424
W42,0.48083753146653907
G56,0.4804769519709039
G24,0.4804384417723611
W03,0.48011049900106273
G38,0.47987558987594187
G22,0.4798266407415311
G40,0.47904387545500077
G45,0.47897452149277403
A133,0.47879602433041196
G68,0.4787433996522565
G57,0.47744903159604224
G48,0.4770905079831064
A136,0.47683739866953817
A49,0.4762390536029597
A40,0.475892750922487
A48,0.47588536304405754
G42,0.4757691494254051
A50,0.4756110255546589
G29,0.47546938230503694
G62,0.475362336908044
G06,0.47516572861625683
G35,0.47507783642127394
G49,0.4750474621951987
G44,0.474126932170849
G51,0.4737625439906188
G30,0.47356097014667164
G65,0.4734782223655304
G36,0.47292723402671805
G80,0.4728030514519139
A51,0.47257745540946533
G33,0.4718521563251385
G26,0.4718084454731147
B1,0.4705746631433994
G41,0.47027516020444515
G50,0.4701342086871992
G25,0.47006849127294
G27,0.46998666555976415
A131,0.4695725622191232
G54,0.4695088330278093
A45,0.469465449807385
G47,0.46939567087552475
G61,0.46887730175018477
G59,0.46863046205006487
W35,0.46787330471014865
W23,0.4675639073210103
A129,0.4670188784395253
G52,0.46697701174664186
G34,0.46639344723500537
W11,0.46624984425703686
G28,0.465785925356951
W02,0.4657148980408123
A46,0.46537774303813045
A128,0.46487919493769925
W21,0.4647968188607311
G58,0.4647318666795706
W37,0.46439621757806127
A132,0.4643451804943281
G60,0.46406658636779596
G55,0.4639527259993757
A135,0.46301355960957324
W12,0.4625996279371746
A95,0.46212923053182936
G43,0.4620806609825143
G53,0.46166089597486315
G32,0.4609253685651851
G64,0.4600215330494173
G31,0.4594013673950002
G05,0.45927089190676146
A126,0.4566713482328225
G63,0.45544609101632466
W39,0.45476569413711515
A127,0.45275275781614965
W33,0.45247371367626804
A130,0.4507795389387945
G04,0.44862728059144413
W43,0.4484140407815484
W38,0.4483001198298117
W32,0.44763110298916675
A55,0.4462524801264633
W18,0.4459237820846925
A53,0.4454827317948215
A44,0.44136997212862805
A56,0.44024166806403436
W31,0.43911012240470787
A58,0.4386134692827861
A59,0.43678589480732943
W40,0.4360423983264286
A122,0.4357058176722096
A94,0.4338523693277189
A96,0.433432722290357
A54,0.4312836926026754
A57,0.4304980415241637
A92,0.4300112775544966
A116,0.4292655008663365
W28,0.4280390184375931
W34,0.42619642060464485
A124,0.4239948085198799
A123,0.4222152861846144
A151,0.4202302755936082
A93,0.41927925313838793
A79,0.41327804878315555
A76,0.4089828873253975
A99,0.4084121568599462
A77,0.4075613138147973
A153,0.40256657857803785
A117,0.40054390149547703
A118,0.3990760122246685
A120,0.39869512794285833
A152,0.3983592109630505
W36,0.3955196431004983
A88,0.39409199444368537
A125,0.39385371722764345
A110,0.3892091370941784
A119,0.38536574975518645
A159,0.38269528078875664
A109,0.38219501741265144
A104,0.3818949147737788
A150,0.38043799720168886
A78,0.3744388490851501
B8,0.37264966476045747
B7,0.37261547870360884
A114,0.37000077484234034
A121,0.3699278150754433
A156,0.36964431886644
A80,0.3683654105386023
A98,0.3670350889090302
A103,0.3657893410866104
A83,0.3654869448191144
A155,0.36542689282648644
A113,0.36286200422198617
A108,0.3624961562863448
B10,0.3603350094391617
A115,0.3583696715441382
A158,0.35531296046925526
A111,0.35379564798399804
A112,0.35313765757631327
A89,0.35243043107024374
A101,0.3512607887904069
A82,0.3493751294092264
A102,0.34899190625351556
B13,0.34790312708601423
A105,0.3452102793632518
B11,0.33756113705094215
A149,0.335088702683969
A100,0.33449443211091295
B12,0.33343350037458885
A157,0.33010984845964075
A97,0.32749812778319626
A90,0.32181259550560604
A85,0.320510935059484
B9,0.31828969002092306
B15,0.31595520204226246
A154,0.3156884490327073
A84,0.31253732391048306
B21,0.31061103055514294
B22,0.3102638866667532
B6,0.31009465285817317
B18,0.3082076802427477
A106,0.3079066791129755
B20,0.3071398314576658
B19,0.30342685265379266
A91,0.302494004946317
B17,0.299149070508494
A81,0.2949008741552783
B14,0.2945698689854043
A87,0.2872551684185594
B16,0.2811613714598959
A86,0.2740520030861061
